,yardline_100,down,goal_to_go,yards_gained,play_type,success,epa,n_defense_box,n_blitzers
419,72.0,2.0,0,3.0,run,1.0,0.080714844,7,0
421,64.0,1.0,0,2.0,run,0.0,-0.45567855,7,0
423,57.0,1.0,0,-1.0,run,0.0,-0.46125323,8,0
428,54.0,1.0,0,4.0,run,0.0,-0.12629348,6,0
430,14.0,1.0,0,0.0,run,0.0,-0.75240135,5,0
431,15.0,2.0,0,0.0,run,0.0,-0.8827925,8,0
432,15.0,3.0,0,-1.0,run,0.0,-0.22304069,6,0
442,70.0,1.0,0,0.0,run,0.0,-0.5390517,7,0
447,42.0,2.0,0,4.0,run,0.0,-0.07325347,7,0
451,64.0,1.0,0,9.0,run,1.0,0.7780921,7,0
453,28.0,1.0,0,10.0,run,1.0,0.6522174,7,0
456,23.0,2.0,0,5.0,run,0.0,-0.064892314,6,0
461,30.0,1.0,0,2.0,run,0.0,-0.2782831,7,0
462,28.0,2.0,0,12.0,run,1.0,1.1696438,7,0
463,16.0,1.0,0,4.0,run,0.0,-0.16044697,7,0
466,7.0,4.0,0,0.0,run,0.0,-3.6970625,8,0
467,93.0,1.0,0,13.0,run,1.0,0.8102339,7,0
470,61.0,2.0,0,8.0,run,1.0,0.6368426,6,0
473,60.0,2.0,0,5.0,run,0.0,-0.46122092,6,0
476,81.0,1.0,0,1.0,run,0.0,-0.45046073,8,0
480,54.0,1.0,0,26.0,run,1.0,1.6681508,7,0
482,21.0,1.0,0,2.0,run,0.0,-0.4281887,7,0
487,75.0,1.0,0,-1.0,run,0.0,-1.0942082,7,0
491,72.0,2.0,0,4.0,run,1.0,1.2359675,6,0
497,79.0,1.0,0,10.0,run,1.0,0.53571725,6,0
499,56.0,1.0,0,2.0,run,0.0,-0.43221655,6,0
506,80.0,1.0,0,-2.0,run,0.0,-1.0739973,7,0
507,82.0,2.0,0,8.0,run,1.0,0.58710355,7,0
510,49.0,2.0,0,13.0,run,1.0,0.96344167,7,0
518,1.0,4.0,1,-1.0,run,0.0,-4.797832,8,0
519,90.0,1.0,0,1.0,run,0.0,-0.51723766,8,0
523,69.0,1.0,0,0.0,run,0.0,-0.5275602,7,0
528,32.0,2.0,0,7.0,run,1.0,0.16462906,6,0
530,4.0,1.0,1,0.0,run,0.0,-0.43352085,7,0
532,1.0,3.0,1,0.0,run,0.0,-6.594447,8,0
536,69.0,1.0,0,4.0,run,0.0,-0.20657717,5,0
538,75.0,2.0,0,14.0,run,1.0,1.1320341,5,1
539,61.0,3.0,0,3.0,run,1.0,0.7351691,5,0
540,58.0,1.0,0,2.0,run,0.0,-0.3528298,6,0
545,76.0,2.0,0,2.0,run,0.0,-0.25998747,7,0
549,38.0,1.0,0,8.0,run,1.0,0.5044668,7,0
564,78.0,1.0,0,5.0,run,1.0,0.095321044,8,0
568,62.0,2.0,0,2.0,run,0.0,-0.29976445,6,0
578,66.0,1.0,0,0.0,run,0.0,-0.56343734,6,0
579,66.0,2.0,0,5.0,run,0.0,-0.32989055,5,0
588,75.0,2.0,0,10.0,run,1.0,1.181841,6,0
590,65.0,2.0,0,3.0,run,0.0,-0.5442908,6,0
593,85.0,1.0,0,0.0,run,0.0,-0.63994616,7,0
597,54.0,1.0,0,4.0,run,0.0,-0.14195298,6,0
598,50.0,2.0,0,2.0,run,0.0,-0.85846156,6,0
600,42.0,1.0,0,2.0,run,0.0,-0.42681608,7,0
604,85.0,1.0,0,6.0,run,1.0,0.1176745,6,0
606,73.0,1.0,0,3.0,run,0.0,-0.31933263,7,0
607,70.0,2.0,0,5.0,run,0.0,-0.0066787824,6,0
611,57.0,1.0,0,3.0,run,0.0,-0.24328607,7,0
614,20.0,1.0,0,7.0,run,1.0,0.47046378,6,0
616,9.0,1.0,1,2.0,run,0.0,-0.3039681,7,0
619,1.0,4.0,1,0.0,run,0.0,-4.1716733,6,0
620,99.0,1.0,0,4.0,run,0.0,-0.07977102,7,0
621,95.0,2.0,0,6.0,run,1.0,0.68714637,6,0
622,89.0,1.0,0,12.0,run,1.0,0.68238586,6,0
625,6.0,2.0,0,1.0,run,0.0,-0.64202565,7,0
633,74.0,1.0,0,9.0,run,1.0,0.3828528,6,0
635,65.0,3.0,0,2.0,run,1.0,0.45281675,7,0
636,63.0,1.0,0,9.0,run,1.0,0.32296613,6,0
648,73.0,3.0,0,3.0,run,1.0,0.59813696,6,0
649,70.0,1.0,0,14.0,run,1.0,0.8714017,6,0
651,33.0,1.0,0,0.0,run,0.0,-0.48358163,7,0
656,75.0,1.0,0,4.0,run,0.0,-0.09377671,5,0
657,71.0,2.0,0,29.0,run,1.0,2.2227962,6,0
659,33.0,2.0,0,11.0,run,1.0,0.6762691,6,0
660,22.0,1.0,0,11.0,run,1.0,0.5182847,6,0
662,2.0,2.0,0,2.0,run,1.0,0.857786,8,0
665,70.0,2.0,0,7.0,run,1.0,0.7217806,6,0
666,63.0,1.0,0,-1.0,run,0.0,-0.7754034,7,0
672,74.0,2.0,0,5.0,run,1.0,0.034502197,7,0
682,62.0,2.0,0,3.0,run,0.0,-0.5694149,5,0
684,38.0,1.0,0,4.0,run,0.0,-0.25323084,6,0
686,27.0,1.0,0,7.0,run,1.0,0.32111397,6,0
687,20.0,2.0,0,10.0,run,1.0,0.54008186,5,0
688,10.0,1.0,1,0.0,run,0.0,-0.4537074,7,0
703,82.0,1.0,0,16.0,run,1.0,1.0821359,8,0
704,66.0,1.0,0,6.0,run,0.0,-0.12725039,6,0
705,60.0,2.0,0,3.0,run,0.0,-0.86541265,8,0
706,57.0,3.0,0,6.0,run,1.0,0.47869596,8,0
707,51.0,1.0,0,-1.0,run,0.0,-0.4383747,7,0
708,52.0,2.0,0,-2.0,run,0.0,-0.3609261,7,0
709,54.0,3.0,0,6.0,run,0.0,-0.31056595,7,0
716,75.0,1.0,0,4.0,run,0.0,-0.0232624,6,0
718,68.0,3.0,0,2.0,run,0.0,-1.1967434,6,0
721,74.0,2.0,0,4.0,run,1.0,0.04705768,5,0
